,coef,std err,t,P>|t|,[0.025,0.975]
Beta Oxidation of Very Long Chain Fatty Acids,-0.1619,0.053,-3.0260000000000002,0.004,-0.27,-0.054000000000000006
Taurine and Hypotaurine Metabolism,-0.0604,0.024,-2.521,0.015,-0.109,-0.012
Phenylacetate Metabolism,-0.0603,0.025,-2.436,0.019,-0.11,-0.01
Steroid Biosynthesis,-0.1431,0.06,-2.387,0.021,-0.264,-0.022000000000000002
Oxidation of Branched-Chain Fatty Acids,-0.1324,0.062,-2.151,0.037000000000000005,-0.256,-0.008
Pyrimidine Metabolism,-0.1316,0.069,-1.899,0.064,-0.271,0.008
Pyruvaldehyde Degradation,-0.1132,0.061,-1.869,0.068,-0.235,0.009000000000000001
Pantothenate and CoA Biosynthesis,-0.1694,0.09699999999999999,-1.751,0.087,-0.364,0.025
Glutamate Metabolism,-0.1184,0.07,-1.6880000000000002,0.098,-0.26,0.023
Pentose Phosphate Pathway,-0.0794,0.048,-1.6469999999999998,0.107,-0.17600000000000002,0.018000000000000002
Lysine Degradation,-0.0714,0.053,-1.3419999999999999,0.18600000000000003,-0.179,0.036000000000000004
Amino Sugar Metabolism,-0.1309,0.098,-1.335,0.18899999999999997,-0.32799999999999996,0.067
Fatty Acid Metabolism,-0.0456,0.036000000000000004,-1.256,0.215,-0.11900000000000001,0.027000000000000003
Thyroid Hormone Synthesis,-0.0567,0.045,-1.252,0.217,-0.14800000000000002,0.035
Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids,-0.0454,0.036000000000000004,-1.252,0.217,-0.11800000000000001,0.027999999999999997
Aspartate Metabolism,-0.057,0.049,-1.173,0.247,-0.155,0.040999999999999995
Phospholipid Biosynthesis,-0.0573,0.05,-1.155,0.254,-0.157,0.043
Homocysteine Degradation,-0.0312,0.027000000000000003,-1.155,0.254,-0.086,0.023
beta-Alanine Metabolism,-0.0582,0.051,-1.149,0.257,-0.16,0.044000000000000004
Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids,-0.0383,0.034,-1.122,0.268,-0.107,0.03
D-Arginine and D-Ornithine Metabolism,-0.0527,0.048,-1.1059999999999999,0.27399999999999997,-0.149,0.043
Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids,-0.0376,0.034,-1.0959999999999999,0.27899999999999997,-0.107,0.031
Warburg Effect,-0.0726,0.071,-1.0290000000000001,0.309,-0.215,0.07
Plasmalogen Synthesis,-0.0405,0.04,-1.016,0.315,-0.121,0.04
Threonine and 2-Oxobutanoate Degradation,-0.0406,0.040999999999999995,-0.978,0.33399999999999996,-0.124,0.043
Purine Metabolism,-0.063,0.065,-0.968,0.33799999999999997,-0.19399999999999998,0.068
Pyruvate Metabolism,-0.0789,0.083,-0.95,0.34700000000000003,-0.24600000000000002,0.08800000000000001
Arachidonic Acid Metabolism,-0.0564,0.06,-0.935,0.355,-0.17800000000000002,0.065
Citric Acid Cycle,-0.0592,0.068,-0.872,0.38799999999999996,-0.196,0.078
Propanoate Metabolism,-0.0521,0.061,-0.862,0.39299999999999996,-0.174,0.07
Phytanic Acid Peroxisomal Oxidation,-0.0464,0.055,-0.8490000000000001,0.4,-0.157,0.064
Butyrate Metabolism,-0.0382,0.045,-0.8440000000000001,0.40299999999999997,-0.129,0.053
Nucleotide Excision Repair,-0.0579,0.069,-0.836,0.408,-0.19699999999999998,0.08199999999999999
Nicotinate and Nicotinamide Metabolism,-0.0579,0.069,-0.836,0.408,-0.19699999999999998,0.08199999999999999
Glutathione Metabolism,-0.0603,0.075,-0.8079999999999999,0.423,-0.21100000000000002,0.09
Transfer of Acetyl Groups into Mitochondria,-0.0489,0.064,-0.764,0.449,-0.17800000000000002,0.08
"Valine, Leucine, and Isoleucine Degradation",-0.0619,0.081,-0.763,0.45,-0.225,0.102
Glycine and Serine Metabolism,-0.047,0.062,-0.76,0.451,-0.172,0.078
Vitamin B6 Metabolism,-0.0721,0.099,-0.727,0.47100000000000003,-0.272,0.128
Riboflavin Metabolism,-0.0538,0.075,-0.718,0.47700000000000004,-0.205,0.09699999999999999
Fatty Acid Elongation in Mitochondria,-0.0199,0.03,-0.667,0.508,-0.08,0.04
Phosphatidylinositol Phosphate Metabolism,-0.0337,0.051,-0.66,0.513,-0.13699999999999998,0.069
Vitamin K Metabolism,-0.0284,0.044000000000000004,-0.6459999999999999,0.522,-0.11699999999999999,0.06
Bile Acid Biosynthesis,-0.0553,0.087,-0.639,0.526,-0.23,0.11900000000000001
Caffeine Metabolism,-0.0172,0.027000000000000003,-0.631,0.531,-0.07200000000000001,0.038
Ethanol Degradation,-0.0223,0.036000000000000004,-0.616,0.541,-0.095,0.051
Cardiolipin Biosynthesis,-0.0209,0.036000000000000004,-0.585,0.562,-0.09300000000000001,0.051
Biotin Metabolism,-0.4439,0.763,-0.5820000000000001,0.564,-1.98,1.093
Arginine and Proline Metabolism,-0.0375,0.07400000000000001,-0.509,0.613,-0.18600000000000003,0.111
Phenylalanine and Tyrosine Metabolism,-0.0514,0.113,-0.455,0.6509999999999999,-0.27899999999999997,0.17600000000000002
De Novo Triacylglycerol Biosynthesis,-0.0114,0.026000000000000002,-0.431,0.669,-0.065,0.042
Selenoamino Acid Metabolism,-0.0223,0.057,-0.389,0.6990000000000001,-0.138,0.09300000000000001
Ketone Body Metabolism,-0.0152,0.042,-0.366,0.716,-0.099,0.069
Fatty Acid Biosynthesis,-0.0332,0.11599999999999999,-0.28600000000000003,0.7759999999999999,-0.267,0.201
Sphingolipid Metabolism,-0.0096,0.057999999999999996,-0.16699999999999998,0.868,-0.126,0.107
Tryptophan Metabolism,-0.0111,0.085,-0.131,0.8959999999999999,-0.183,0.16
Methylhistidine Metabolism,-0.0087,0.075,-0.11599999999999999,0.9079999999999999,-0.16,0.142
Glycerolipid Metabolism,-0.0067,0.075,-0.08900000000000001,0.93,-0.158,0.14400000000000002
Methionine Metabolism,-0.0033,0.055,-0.059000000000000004,0.953,-0.115,0.10800000000000001
Androstenedione Metabolism,0.0001,0.054000000000000006,0.003,0.998,-0.10800000000000001,0.109
Histidine Metabolism,0.0002,0.061,0.004,0.997,-0.12300000000000001,0.12300000000000001
Porphyrin Metabolism,0.0003,0.055,0.006,0.995,-0.11,0.111
Ammonia Recycling,0.0056,0.07400000000000001,0.076,0.94,-0.14300000000000002,0.154
Urea Cycle,0.0054,0.059000000000000004,0.092,0.927,-0.113,0.124
Retinol Metabolism,0.0041,0.040999999999999995,0.099,0.922,-0.079,0.087
Cysteine Metabolism,0.0082,0.059000000000000004,0.138,0.8909999999999999,-0.111,0.128
Folate Metabolism,0.0052,0.035,0.15,0.8809999999999999,-0.064,0.075
Spermidine and Spermine Biosynthesis,0.0128,0.069,0.185,0.8540000000000001,-0.126,0.152
Ubiquinone Biosynthesis,0.0162,0.051,0.318,0.752,-0.086,0.11800000000000001
Androgen and Estrogen Metabolism,0.0204,0.064,0.318,0.752,-0.109,0.15
Alanine Metabolism,0.0312,0.085,0.368,0.715,-0.139,0.20199999999999999
Carnitine Synthesis,0.0182,0.046,0.39399999999999996,0.696,-0.075,0.111
Estrone Metabolism,0.036,0.078,0.462,0.6459999999999999,-0.121,0.193
Glucose-Alanine Cycle,0.0216,0.037000000000000005,0.585,0.562,-0.053,0.096
Mitochondrial Electron Transport Chain,0.0313,0.05,0.623,0.536,-0.07,0.132
Thiamine Metabolism,0.4491,0.705,0.637,0.527,-0.971,1.869
Lactose Degradation,0.2565,0.38,0.674,0.504,-0.51,1.023
Nucleotide Sugars Metabolism,0.0389,0.053,0.728,0.47100000000000003,-0.069,0.147
Trehalose Degradation,0.1582,0.20800000000000002,0.762,0.45,-0.26,0.5760000000000001
Betaine Metabolism,0.0474,0.06,0.785,0.436,-0.07400000000000001,0.16899999999999998
Malate-Aspartate Shuttle,0.032,0.038,0.8340000000000001,0.408,-0.045,0.109
Lactose Synthesis,0.2494,0.295,0.846,0.402,-0.344,0.843
Steroidogenesis,0.0452,0.05,0.897,0.374,-0.055999999999999994,0.147
Fructose and Mannose Degradation,0.0537,0.059000000000000004,0.909,0.368,-0.065,0.17300000000000001
Gluconeogenesis,0.0612,0.061,1.0070000000000001,0.32,-0.061,0.184
Inositol Metabolism,0.0722,0.069,1.044,0.302,-0.067,0.21100000000000002
Sulfate_Sulfite Metabolism,0.0509,0.048,1.051,0.299,-0.047,0.149
Glycerol Phosphate Shuttle,0.0505,0.042,1.197,0.23800000000000002,-0.034,0.136
Glycolysis,0.0565,0.045,1.251,0.218,-0.034,0.147
Inositol Phosphate Metabolism,0.0971,0.07400000000000001,1.31,0.19699999999999998,-0.052000000000000005,0.24600000000000002
Starch and Sucrose Metabolism,0.0773,0.057,1.367,0.17800000000000002,-0.037000000000000005,0.191
Tyrosine Metabolism,0.1587,0.11199999999999999,1.416,0.16399999999999998,-0.067,0.384
Pterine Biosynthesis,0.0679,0.044000000000000004,1.535,0.132,-0.021,0.157
Alpha Linolenic Acid and Linoleic Acid Metabolism,0.0307,0.02,1.5619999999999998,0.125,-0.009000000000000001,0.07
Phosphatidylcholine Biosynthesis,0.0885,0.052000000000000005,1.716,0.09300000000000001,-0.015,0.192
Phosphatidylethanolamine Biosynthesis,0.0956,0.051,1.89,0.065,-0.006,0.198
Galactose Metabolism,0.1869,0.08800000000000001,2.123,0.039,0.01,0.364
Catecholamine Biosynthesis,0.2361,0.091,2.6069999999999998,0.012,0.054000000000000006,0.419
const,37.1447,2.274,16.334,0.0,32.565,41.725
